var,context,short def,long def,number of vars in sentence,context length,distance
ke,impurity component c in the melt the partition coefficient ke and the liquidus slope me is given by,coefficient,partition coefficient,3,18,1
c,and solidus line the concentration of the impurity component c in the melt the partition coefficient ke and,component,impurity component,2,18,1
ε,multiwell potential w(ϕ) and by the small scale parameter ε related to,parameter,small scale parameter,2,12,1
σ,we assume that surface properties (surface energy density σ and kinetic coefficient μ),density,surface energy density,2,13,1
ΔT,between the temperature interval ΔT of the liquidus and,interval,temperature interval,1,9,1
e,is a typical velocity of species i (either electrons e or protons p) and λi and mi are,electron,electron,3,18,1
υi,where n is the number density of gas particles υi is a typical velocity of species i,velocity,typical velocity of species,2,17,4
μ,and where μ is the dynamical coefficient of viscosity,coefficient,dynamical coefficient of viscosity,1,9,4
z,At redshift z this cluster has a mass of,redshift,redshift,1,9,1
L,We prove that every lattice L can be embedded into,lattice,lattice,1,10,1
G,For a partially ordered abelian group G we put,group,partially ordered abelian group,1,9,1
μeff,where μeff is the effective dipole moment of the molecule,moment,effective dipole moment of molecule,1,10,5
U,μeff is the effective dipole moment of the molecule U is the amplitude of the oscillating hexapole term,amplitude,amplitude of oscillating hexapole term,1,18,3
g,where g is the effective coupling constant given in terms,constant,effective coupling constant,1,10,5
kBT,between the level spacing Δε and the thermal energy kBT as illustrated in,energy,thermal energy,2,13,1
εF,energy distribution function is cutoff by the Fermi energy εF as it is given by,energy,Fermi energy,1,15,9
vF,the possible variation of the Fermi velocity vF as the Fermi level is shifted,velocity,Fermi velocity,1,14,1
Δε,has peaks that reflect the level spacing Δε arising from the,spacing,level spacing,1,11,1
T,with a shape depending on the temperature T,temperature,temperature,1,8,1
Λ,The highenergy cutoff Λ comes from the existence of a microscopic shortdistance,cutoff,highenergy cutoff,1,12,1
t,is a particle at lattice site 𝐫 at time t and 0 otherwise,time,time,2,13,1
b,For our studies we introduce a parameter b ranging from zero to one which controls the,parameter,parameter,1,16,1
Γ,where M is a connected manifold and Γ is a valent graph together with a rule,graph,valent graph,2,16,4
ϕ,the most central collisions the spectra for multistrange particles ϕ and Ω appear albeit with still large uncertainties,particle,multistrange particle,2,18,1
Pλ,from measurements of the power spectra Pλ of local fluctuations in,spectra,power spectra,1,11,1
v,in which the second Fourier component v is the dominant contribution,component,second Fourier component,1,11,1
A,and target mass number A because the target gluon,number,target mass number,1,9,1
C,shows measurements of the resonance contrast C for two buffer gas,contrast,resonance contrast,1,11,1
τ,and τ is the integration time,time,integration time,1,6,4
A,where A is the relative intensity of the clock resonance,intensity,relative intensity of clock resonance,1,10,4
ν,where ν is the atomic reference frequency Δν is the,frequency,atomic reference frequency,1,10,5
μq,the density dependence of neutron and proton chemical potentials: μq,potential,neutron and proton chemical potential,1,10,1
ΘD,The characteristic temperatures ΘD,temperature,characteristic temperature,1,4,1
J,a BonnerFisher type of behavior with an exchange constant J,constant,exchange constant,1,10,1
X,For a set X we denote by 𝒫(X) the powerset lattice of,set,set,2,12,1
L,For a given complete lattice L we investigate whether,lattice,complete lattice,1,9,1
p,An element p of a lattice L is,element,element,2,8,1
Δ,of the height Δ,height,height,1,4,1
r,of points derived from a spherical powerlaw density distribution r,distribution,spherical powerlaw density distribution,1,10,1
H,We write the Hubble constant as H and adopt h,constant,Hubble constant,1,10,2
σ,and we take the powerspectrum normalization σ,normalization,powerspectrum normalization,1,7,1
Ωb,a cosmologically constant ΩΛ a baryon density parameter Ωb and we take the powerspectrum,parameter,baryon density parameter,2,14,1
ρ,to show that for a given spherical density profile ρ,profile,spherical density profile,1,10,1
A,that Im𝐑 is orthogonal to the column vector A,vector,column vector,1,9,1
E,Denote by E the Euler vector field in 𝐑n,field,Euler vector field,1,9,4
ϕ,boundaries that could be tilted quasistatically by an angle ϕ with respect to the vertical axis,angle,angle,1,16,1
ξ,and the rescaled horizontal position ξ,position,rescaled horizontal position,1,6,1
t,the parameters r and t below,parameter,parameter,2,6,3
φ,experiment is that for all finite shear angle values φ that we tested the shape of the response,value,all finite shear angle value,1,18,1
w,The total height w of sand ranged between h and,height,total height of sand,1,10,1
u,and the shear ratio u,ratio,shear ratio,1,5,1
β,with an angle β with respect of the,angle,angle,1,8,1
r,the parameters r and t below,parameter,parameter,2,6,1
τ,we argue that this τ angle is simply related to the,angle,angle,1,11,1
z,relative to the vertical axis z (x denotes the horizontal coordinate) characterized by a,axis,vertical axis,2,14,1
G,Poisson coefficients ν and ν and the shear modulus G,modulus,shear modulus,2,10,1
l,The lateral width of the box was l,width,lateral width,1,8,5
E,a given material namely the Young modulus E and the Poisson ratio ν,modulus,Young modulus,2,13,1
νij,Ei three shear moduli Gi and six Poisson ratios νij,ratio,Poisson ratio,2,10,1
R,conical pile of height h radius at the base R and pile slope angle,radius,radius,2,14,4
σzz,for the vertical stress response σzz after shear for several shear angles ϕ and,response,vertical stress response,2,14,1
ν,namely the Young modulus E and the Poisson ratio ν,ratio,Poisson ratio,2,10,1
x,is the horizontal coordinate x normalized by the sand depth h,coordinate,horizontal coordinate,2,11,1
qi,Rescaling the local variable qi by the degree of node i we obtain,variable,local variable,2,13,1
Q,on the concept of modularity Q introduced by,modularity,modularity,1,8,1
L,respect to the distance r for the chain length L and various angles at h.,length,chain length,3,15,1
θ,where θ is the angle between 𝐡 and 𝐡N and,angle,angle,1,10,3
αres,where αres is a residual angle which is two orders,angle,residual angle,1,10,4
Fqq¯′,The joint parton distribution Fqq¯′ has three components,distribution,joint parton distribution,1,8,1
ξ,we use a phenomenological parameter ξ to denote the average fraction of hard partons,parameter,phenomenological parameter,1,14,1
β,Here we use β to denote centrality,centrality,centrality,1,7,3
Vdc,where Vdc is the voltage across J1,voltage,voltage,1,7,3
E,voltage by only those electrons which have an energy E,energy,energy,1,10,1
Γ,to characterize the tap intensity by the dimensionless acceleration Γ,acceleration,dimensionless acceleration,1,10,1
f,entire period of sine wave at a fixed frequency f,frequency,fixed frequency,1,10,1
S,where S represents the proportionality constant associated with the,constant,proportionality constant,1,9,4
P,We will denote this likelihood by P and we will call the initial target population,likelihood,likelihood,1,15,2
N,P and we will call the initial target population N; which represents the total number of potential,population,initial target population,1,17,1
T,For an appropriately chosen strobing period T the synchronous solution corresponds to a fixed point,period,appropriately chosen strobing period,1,15,1
λi,and λi are eigenvalues of matrix A,eigenvalue,eigenvalue,2,7,2
λk,Note that matrix A has N purely imaginary eigenvalues λk,eigenvalue,purely imaginary eigenvalue,2,10,1
λ,The eigenvalues of the linear part are λ,eigenvalue,eigenvalue of linar part,1,8,6
A,where A is an constant matrix and ei is,matrix,constant matrix,1,9,4
J,stationary state is set up and the heat flux J becomes a constant,flux,heat flux,1,13,1
E,where E is the electron energy and |Φ(R)| is the,energy,electron energy,1,10,4
x,where x is the position of the particle v is,position,position of particle,2,10,3
v,where x is the position of the particle v is the velocity and F(xv) is the force,velocity,velocity,3,17,3
S,where S is known as Hamitlon’s principal function,function,Hamitlon’s principal function,1,8,6
γ,contracts by the factor γ,factor,factor,1,5,1
v,independent of the relative speed v and hence invariant under,speed,relative speed,1,10,1
τ,where τ is the proper time,time,proper time,1,6,4
d′,here d′ is the contracted light path in the y,path,contracted light path,1,10,5
C,hypothesis here is that the scale of the constant C,constant,constant,1,10,1
b,dynamically-related spinzero fields a scalar ϕ and a pseudoscalar b,pseudoscalar,pseudoscalar,2,10,1
F,to generalize the asymptotic (large) relations F and to,relation,asymptotic (large) relation,1,9,1
Γ,is the labeled undirected graph Γ with vertices S and edges,graph,labeled undirected graph,2,11,1
n,Each of these Coxeter groups of rank n is a finite group of orthogonal matrices,rank,rank,1,15,1
b,Let a and b be Coxeter generators for 𝐃(k),generator,Coxeter generator,2,9,3
T,Let T be the BassSerre tree with standard transversal T∗,tree,BassSerre tree,2,10,4
Λ,Let Λ be a visual graph of groups decomposition of,graph,visual graph,1,10,4
V′,Let V′ be a vertex group of Λ containing a,group,vertex group,1,10,4
V,Let V be a real vector space having a basis,space,real vector space,1,10,5
B,Let B be the symmetric bilinear form on V defined,form,symmetric bilinear form,1,10,5
R,with respect to another set of Coxeter generators R of W and,generator,Coxeter generator,1,12,1
U,If U is a subgroup of W write,subgroup,subgroup of W,1,8,3
G,We denote the center of a group G by Z(G),group,group,1,10,1
G′,a subgroup of a conjugate of a vertex group G′ of Λ′ which is in turn a subgroup,group,vertex group,1,18,1
t,is the initial energy of the perturbation at time t,time,time,1,10,1
U→,when the unperturbed velocity corresponds to a linear shear U→ and the Coriolis force is,shear,linear shear,1,15,1
ω→,the Coriolis force is described by the angular frequency ω→,frequency,angular frequency,1,10,1
C,behaviors of the magnetization m susceptibility χ specific heat C and Binder’s cumulant,heat,specific heat,2,13,1
P,in the underlying lattice and P is the probability of adding or rewiring shortcuts,probability,probability of adding or rewiring shortcut,1,14,3
Tc,near the critical temperature Tc and from the disordered state,temperature,critical temperature,1,10,1
γ,appropriate scaling functions and critical exponents γ α β and ν¯ where,exponent,critical exponent,4,12,1
m,much larger than J the order parameter (magnetization) m turns out to change erratically around,parameter,order parameter,1,15,2
ν¯,scaling functions and critical exponents γ α β and ν¯ where,exponent,critical exponent,4,11,5
χ,behaviors of the magnetization m susceptibility χ specific heat C and,susceptibility,susceptibility,2,11,1
n,A of length n connecting,length,length,1,5,1
Ωξ,ξ mass to be mξ the relic density parameter Ωξ and,parameter,relic density parameter,2,11,1
mξ,Let us take the ξ mass to be mξ the relic density parameter Ωξ and the average,mass,ξ mass,2,17,3
h,has cells with an average comoving cell size of h,size,average comoving cell size,1,10,2
λ,by introducing a parameter λ thought of as an inverse temperature with the,parameter,parameter,1,13,1
p,aims to decide whether or not a particular parameter p should be fixed,parameter,particular parameter,1,13,1
H,and so on up to level H of hierarchy,level,level,1,9,1
N,Within a sphere of radius R we place randomly N spheres,sphere,sphere,2,11,7
R,Within a sphere of radius R we place randomly N spheres of,radius,radius,2,12,1
α,The resulting slope of α,slope,resulting slope,1,5,2
Etot,To determine the total energy Etot in,energy,total energy,1,7,1
ma,a particle with mass ma and deformation fa(p) will be,mass,mass,2,10,1
p→b,discussion particles a and b have momenta p→a and p→b respectively and,momentum,momentum,4,12,3
Kx,Using the definition for the inelasticity Kx for a process where,inelasticity,inelasticity,1,11,1
β→,represents an observer with velocity β→ with respect to 𝒦,velocity,velocity,1,10,1
K,cross sections σ and the inelasticities K of the interactions,inelasticity,inelasticity,2,10,1
P,theory we can calculate the Poisson probability P of an excess in the five,probability,Poisson probability,1,14,1
Ef,Ef is the difference between the initial energy E,difference,difference,2,9,3
Eref,modified up to a reference energy Eref,energy,reference energy,1,7,1
p→,when for a given value of the total momentum p→,momentum,total momentum,1,10,1
Ep,where Ep is the final proton energy,energy,final proton energy,1,7,5
Ea,as a function of the energy Ea that it has,energy,energy,1,10,1
z,where z is the redshift and T is the temperature,redshift,redshift,2,10,3
γc,As a consequence the Lorentz factor γc which relates the,factor,Lorentz factor,1,10,1
p,for particles with energy E and momentum p,momentum,momentum,2,8,1
λ,have defined the parameters α η and λ in such a way that,parameter,parameter,3,13,4
H,where H is the Hubble constant at present time,constant,Hubble constant,1,9,4
α,have defined the parameters α η and λ in such a way that,parameter,parameter,3,13,1
γ,that positive coupling strength γ whatever large it is,strength,coupling strength,1,9,1
T,noise sources possess the same intensity T which we use as a,intensity,intensity,1,12,1
Myrtrlx,The relaxation time is given by Myrtrlx,time,relaxation time,1,7,4
ϵ,a plausible range of the accretion efficiency ϵ,efficiency,accretion efficiency,1,8,1
mχ,WIMPs of mass and number density mχ at radius,density,number density,1,9,1
ΔΩ∼,sustains a solid angle ΔΩ∼ (about the resolution of EGRET),angle,solid angle,1,10,1
c,models and our model for typical concentration c,concentration,typical concentration,1,8,1
χdiag,first two training epochs the diagonal χdiag,diagonal,diagonal,1,7,1
σR,and left and right asymmetric uncertainties σR and σL,uncertainty,asymmetric uncertainty,2,9,1
η,cycles with learning rate η and momentum term α,rate,learning rate,2,9,1
α,learning rate η and momentum term α and for the second,term,momentum term,2,11,1
i,An inclination angle i is assumed,angle,inclination angle,1,6,1
ΔR,As the drainsource resistance modulation ΔR was always very small,modulation,drainsource resistance modulation,1,10,1
Qg,the measured dependence of ΔR on the gate charge Qg,charge,gate charge,2,10,1
Vg,is a function of the gate voltage Vg,voltage,gate voltage,1,8,1
m,for positive integers m and n,integer,positive integer,2,6,1
fc,reflected at the carrier frequency fc from the tank circuit set,frequency,carrier frequency,1,11,1
fmn,contains frequency components fmn where,component,frequency component,1,5,1
fs,gate signal Vs at frequency fs modulates the,frequency,frequency,2,8,1
V,tunneling is suppressed for source-drain voltages V in the range,voltage,source-drain voltage,1,10,1
χ,be identified with the angle variable χ in the deSitter space,variable,angle variable,1,11,1
λt,The λt factor in the exponent describes the loss of,factor,factor,1,10,1
e,The exponential factor e reduces both components at,factor,exponential factor,1,8,1
g,Then P is the Kähler potential for a metric g if and only,metric,metric,2,13,1
c,where c is the first Chern class of the bundle,class,first Chern class,1,10,5
Rc,Then the complex Ricci tensor Rc may be represented in,tensor,complex Ricci tensor,1,10,1
λ,is an eigenvector of Ricci corresponding to the eigenvalue λ if,eigenvalue,eigenvalue,1,11,1
Rmin,dropping to a minimum point at radius Rmin and then rising,radius,radius,1,11,1
τSF,into star clusters and τSF is the star formation timescale,timescale,star formation timescale,1,10,5
c,the halo concentration parameter c and spin parameter λ,parameter,halo concentration parameter,2,9,1
λ,the halo concentration parameter c and spin parameter λ,parameter,spin parameter,2,9,5
H,adopt standard values for the Hubble constant H,constant,Hubble constant,1,8,1
Hd,bin size of the histogram is Hd,size,size of histogram,1,7,5
E˙,Second the energy input E˙ from supernovae at the observed,input,energy input,1,10,1
ΔT,a correlation between spatial separation ΔS and age difference ΔT,difference,age difference,2,10,1
md,models with disk fraction md have flat rotation curves,model,model with disk fraction,1,9,4
Ntot,with three resolution levels having total particle numbers Ntot,number,total particle number,1,9,1
Δτ,between observations separated by an interval of time Δτ,time,interval of time,1,9,1
m,where m is the progenitor mass,mass,progenitor mass,1,6,4
λ,factor is a function of the wavelength λ and the dust,wavelength,wavelength,1,11,1
q,The paths p and q are called the of the band,path,path,2,11,3
G,finite presentation of a group G if every word w in X,group,group,2,12,1
l,such that for every constant C every loop l in the Cayley,loop,loop,2,12,1
Tc,consider two temperatures near the critical temperature Tc,temperature,critical temperature,1,8,1
χ,Simulating the susceptibility χ for the,susceptibility,susceptibility,1,6,1
Lh,is first order then there is a latent heat Lh,heat,latent heat,1,10,1
H,model has two conserved quantities: the Hamiltonian H,Hamiltonian,Hamiltonian,1,8,1
t,If the particle starts at rest at time t then we can,time,time,1,12,1
nμ,Here nμ is the tangent vector to the mean null,vector,tangent vector,1,10,4
φ,where φ is the change in angle between and in,change,change in angle,1,10,3
ξ,and spin axis and the angle ξ between magnetic dipole and,angle,angle between magnetic dipole,1,11,1
ω,and rotating with constant angular velocity ω,velocity,constant angular velocity,1,7,1
M,the neutron star to be spherical (mass M radius R) and rotating,mass,spherical mass,2,12,1
χ,the angle χ between line of sight and spin axis and,angle,angle,1,11,1
νz,and an axial trapping frequency νz,frequency,axial trapping frequency,1,6,1
xμ,these coordinates and the spacetime coordinates xμ,coordinate,these coordinate,1,7,5
NH,equivalent hydrogen column density NH in was set to the expected,density,equivalent hydrogen column density,1,11,1
d,incident field wavelength λ and for various gap distances d,distance,various gap distance,2,10,1
rB,number of nuclei from which plasma consists rB is Bohr radius,radius,Bohr radius,1,11,3
Ω,where Ω is the rotation velocity,velocity,rotation velocity,1,6,4
η,The existing of equilibrium plasma density η is not caused by,density,equilibrium plasma density,1,11,1
P,where 𝐠 is the gravity acceleration P is the pressure and,pressure,pressure,2,11,3
γ,acceleration P is the pressure and γ is the substance density,density,substance density,2,11,4
ℱ,does the central frequency of this spectrum ℱ is equal approximately,spectrum,spectrum,1,11,1
G,where G is the gravity constant,constant,gravity constant,1,6,4
Z,Where Z is the averaged charge number of nuclei from,number,averaged charge number,1,10,5
fη,these low frequency oscillations fη are induced by the sound radial,oscillation,low frequency oscillation,1,11,1
I,probability to measure the switching current I is given by,current,switching current,1,10,1
EJ,from the dependence of the Josephson energy EJ on the phase difference,energy,Josephson energy,1,12,1
ΔU,exponential dependence of Γt on the potential barrier ΔU,barrier,potential barrier,2,9,1
Q,For underdamped junctions Q the prefactor in,junction,underdamped junction,1,7,1
C,the specific capacitance C and the junction resistance,capacitance,specific capacitance,1,8,1
ρc,junction resistance R extracted from the high bias resistivity ρc,resistivity,high bias resistivity,2,10,1
Teff,the effective noise temperature Teff for the initial mesa,temperature,effective noise temperature,1,9,1
Ic,the fluctuation-free critical current Ic extracted from the analysis,current,fluctuation-free critical current,1,9,1
T,At a finite temperature T the particle can escape from the,temperature,finite temperature,1,11,1
V,a result of self-heating at the large sumgap voltage V where N is the,voltage,large sumgap voltage,1,14,1
R,Let R be a commutative Noetherian local ring with residue,ring,commutative Noetherilocal ring,1,10,6
t,for analytical computations and at the decay time t,time,decay time,1,9,1
mi,elements of the lepton mixing matrix and mi are the active neutrino mass eigenvalues,eigenvalue,active neutrino mass eigenvalue,1,14,6
m,In the case of a normal neutrino mass hierarchy m and it,hierarchy,normal neutrino mass hierarchy,1,12,1
M,contains righthanded neutrino Majorana masses of order M,order,order,1,8,1
Pμe,if there is a small average probability Pμe for a neutrino,probability,small average probability,1,11,1
r,variation with respect to radial distance r,distance,radial distance,1,7,1
λ,on a grain size-scale parameter λ which represents the wavelength,parameter,grain size-scale parameter,1,10,1
Cklκ,the matrix 𝐐 and the matrix 𝐂 has elements Cklκ,element,element,3,10,1
B,are not solved again since the amplitude B is chosen such that the violation,amplitude,amplitude,1,14,1
ρc,was constrained by a constant central density ρc,density,constant central density,1,8,1
A,center and the parameter A specifies the degree of differential,parameter,parameter,1,10,1
δ,Here δ is the Doppler factor,factor,Doppler factor,1,6,4
ϕ′,distribution function is equal to their maximum deflection angle ϕ′,angle,maximum deflection angle,1,10,1
εcr′,where the critical energy εcr′ is defined from equality,energy,critical energy,1,9,1
ε,a powerlaw of the particle’s energy ε with the,energy,particle’s energy,1,9,1
P,the period of the planet P and the limb darkening coefficient u,period,period of planet,2,12,4
u,where u is the limb darkening coefficient,coefficient,limb darkening coefficient,1,7,5
ci,lists the coefficients ai ci and,coefficient,coefficient,2,6,2
N,where N is the number of stars with sufficient,number,number of star,1,9,3
Vo,of the interferometer the actual squared visibility observed is Vo,visibility,actual squared visibility,1,10,3
λ,having a baseline B at the wavelength λ is defined as,wavelength,wavelength,2,11,1
R,a smearing function on a length scale R and time scale T,scale,length scale,2,12,1
βk,now find the coefficients αk and βk by inserting the,coefficient,coefficient,2,10,3
Hi,the initial Hubble length scale Hi is larger than,scale,initial Hubble length scale,1,9,1
αk,now find the coefficients αk and βk by inserting the,coefficient,coefficient,2,10,1
Hf,than the final Hubble length scale Hf,scale,final Hubble length scale,1,7,1
T,function on a length scale R and time scale T,scale,length scale,2,10,5
ϕ,First consider a scalar field ϕ with potential,field,scalar field,1,8,1
η,with respect to the conformal time η,time,conformal time,1,7,1
Δt,of the pump-probe time delay Δt reveals the time evolution of,delay,time delay,1,11,1
fc,driven continuously at a frequency fc set to the Ga resonance,frequency,frequency,1,11,1
νn,the nuclear polarization frequency νn which has been calculated,frequency,nuclear polarization frequency,1,9,1
κ,where κ is the surface gravity of the horizon defined,gravity,surface gravity of horizon,1,10,4
S,is the black hole mass T is temperature and S its entropy,entropy,entropy,2,12,2
M,with M the mass of the KK graviton,mass,mass of KK graviton,1,8,2
χa,and χa is the Killing vector that is tangent to,vector,Killing vector,1,10,4
A,where A is the horizon area,area,horizon area,1,6,4
G,Suppose G is a group over,group,group,1,6,3
tf,Therefore at the time tf where,time,time,1,6,1
n,where ℳ is a smooth manifold of dimension n and,dimension,dimension,2,10,1
td,where td is the time when dark energy dominance commences,time,time,1,10,3
θ,where θ is the opening angle of the wedge r,angle,opening angle of wedge,1,10,4
ρB,constants εA and εB and densities ρA and ρB respectively,density,density,4,10,3
εA,B with dielectric constants εA and εB and densities ρA and ρB respectively,constant,dielectric constant,4,13,1
ρA,εA and εB and densities ρA and ρB respectively,density,density,4,9,1
V,distance from the origin and V the potential difference between the two plates,difference,potential difference,1,13,3
εB,liquids A and B with dielectric constants εA and εB and densities ρA and,constant,dielectric constant,4,14,3
g,be embedded on a surface of a given genus g,genus,genus,1,10,1
i,of the similarity Sord between element sij and element i,element,element,2,10,4
I,possibilities for the magnetic field effect on the current I,current,current,1,10,1
ϕ,Here Aμ and Rμ are gauge fields and ϕ is a complex scalar field,field,complex scalar field,3,14,5
J,trivial exercise to calculate the current J along the string for,current,current,1,11,1
E,eigenstate of Hk with eigenvalue E provided that,eigenvalue,eigenvalue,2,8,1
μ,presence of a nonzero fermion chemical potential μ and temperature T,potential,nonzero fermion chemical potential,2,11,1
n,where e is the fermion charge and n is the winding number of the string,number,winding number of string,2,15,4
T,nonzero fermion chemical potential μ and temperature T,temperature,temperature,2,8,1
λ,of H⊥ with eigenvalue λ into a properly normalized eigenstate of,eigenvalue,eigenvalue,1,11,1
H⊥,The operator H⊥ then takes the form,operator,operator,1,7,1
Hk,and the operator Hk now acts solely in the transverse,operator,operator,1,10,1
nL,where nL is the density of one,density,density,1,7,3
T,The characteristic temperature T above which the fixed range,temperature,characteristic temperature,1,9,1
θ,magnetic field which is tilted an angle θ to the normal with B→,angle,angle,1,13,1
c,the matrix size increases as Nc where c is a constant,constant,constant,1,11,3
N,topological invariant of unlabeled trees of N nodes,node,node,1,8,1
T,The number of trees T obtained with above algorithm with,tree,number of tree,1,10,1
z,charged particle located at a height z above a magnetic monopole,height,height,1,11,1
λ,inhomogeneity with the scale length λ and density variation,length,scale length,1,9,1
Λ,The radiative cooling is represented by Λ in equation,cooling,radiative cooling,1,9,4
ψ,particle wave function ψ is related by the rule,function,particle wave function,1,9,1
V,usual potential and V is the socalled quantum potential,potential,socalled quantum potential,1,9,2
κ,where κ is a real number,number,real number,1,6,4
ρ,is the density of particles ρ the velocity if a,density,density of particle,1,10,3
μS,compared to the lead chemical potentials μS and μD at nearby,potential,lead chemical potential,1,11,1
E,plots the tunnel splitting t and the charging energy E required,energy,charging energy,1,11,1
V,of the particle in the potential well V is given by,well,potential well,1,11,1
R,Here the radius of the wire is R its length L and,radius,radius of the wire,2,12,5
Q,The quality factor of the structure Q is defined through the,structure,structure,1,11,1
Telastic,torsion by an angle θ results in a torque Telastic,torque,torque,2,10,1
σ,where σ is the conductivity and g is the gyromagnetic,conductivity,conductivity,2,10,3
θW,The resulting torque has an associated torsion angle θW,angle,torsion angle,1,9,1
I,When a current I is passed through the wire a fraction α,current,current,2,12,1
L,the radius of the wire is R its length L and M is the magnetization,length,length,3,15,1
ΔL,in a change in the angular momentum ΔL,momentum,angular momentum,1,8,1
Tinertia,result in an inertial torque Tinertia due to the moment,torque,inertial torque,1,10,1
δθ,larger than the thermal fluctuations δθ,fluctuation,thermal fluctuation,1,6,1
χc,the corresponding magnetic susceptibility χc is small,susceptibility,magnetic susceptibility,1,7,1
j,and j is the current density,density,current density,1,6,4
θ,oscillator undergoing torsion by an angle θ results in a torque,angle,angle,1,11,1
G,for a wire K and G is the shear modulus of the oscillator,modulus,shear modulus,2,13,4
λ,λ is the magnetostrictive coefficient,coefficient,magnetostrictive coefficient,1,5,4
Hc,from the circular magnetic field Hc perpendicular to,field,circular magnetic field,1,8,1
ΔN,The number of electrons ΔN passing the interface in a time interval Δt,number,number of electron,2,13,3
t,and t is a constant,constant,constant,1,5,3
r,where r represents the radius,radius,radius,1,5,3
βa,were αa and βa are the asymptotic values at high metallicity and,value,asymptotic value,1,12,4
P,Let P be the probability of giant gas planet formation,probability,probability of giant gas planet formation,1,10,3
c,where c is a positive constant and f is some,constant,positive constant,1,10,4
σS,being proportional to the dust surface density σS,density,dust surface density,1,8,1
T,to the mid-plane disc temperature T since the gas accretion rate that ultimately forms,temperature,mid-plane disc temperature,1,14,1
αa,were αa and βa are the asymptotic values at high,value,asymptotic value,2,10,6
gν,Partial level density parameters gπ and gν were used in the,parameter,Partial level density parameter,2,11,3
gπ,Partial level density parameters gπ and gν,parameter,Partial level density parameter,2,7,1
M,contains the adjustable transition matrix element M for each possible transition between,element,adjustable transition matrix element,1,12,1
sk,The emission rate wk for ejectile k with spin sk is given by,spin,spin,3,13,1
V,Finally an effective surface interaction well depth V was used.,depth,well depth,1,10,1
Ω,The normalized density parameter Ω defined as the ratio of the actual density,parameter,normalized density parameter,1,13,1
ΔS,and by the entropy change ΔS of the system,change,entropy change,1,9,1
Γ,change in the statistical weight Γ one has to count the change in number,weight,statistical weight,1,14,1
ϕ,to the amplitude of the applied field ϕ is the phase of the applied,phase,phase,1,14,3
t,integrating the power from time t to some final time to which is,time,time,1,13,1
θ,and θ is the phase of the plane wave macroscopic,phase,phase of plane wave,1,10,3
wo,where wo is the frequency of the applied field go,frequency,frequency of applied field,1,10,3
i,where i is the qubit index n is the lattice,index,qubit index,1,10,4
n,where i is the qubit index n is the lattice site index and,index,lattice site index,2,13,1
Φ,The magnetic flux Φ is the only control field for our qubit,flux,magnetic flux,1,12,1
ρn,two qubits are needed to specify the mass density ρn at each lattice site,density,mass density,1,14,1
M,the sample size P is the generating distribution and M is the best element of the model,element,best element of the model,2,17,4
xi,is the number of nats needed to encode outcome xi using the code based on the ML estimator,outcome,outcome,1,18,1
Ω,This new system corrotates at an angular velocity Ω,velocity,angular velocity,1,9,1
Peff,the effective magnetic Prandtl number Peff,number,effective magnetic Prandtl number,1,6,1
tdiff,The diffusion time tdiff using the saturated value of D,time,diffusion time,1,10,1
β,strength vertical field with plasma parameter β except that we,parameter,plasma parameter,1,10,1
Pm,number is small whereas the magnetic Prandtl number Pm,number,magnetic Prandtl number,1,9,8
c,where c is the sound speed,speed,sound speed,1,6,4
f,where f is a number between 0 and 1.,number,number,1,9,3
x,Thus the orbit of the point x under this type of permutation contains,point,point,1,13,1
λ,of Xλ and its mirror Yλ when the parameter λ lies,parameter,parameter,2,11,1
θ∼,location of the bowshock highest being at an angle θ∼,angle,angle,1,10,1
k,consequently the second amicable number is the sum of k odd numbers,number,odd number,1,12,5
I,to an amputated graph with V vertices I internal lines and,line,internal line,2,11,1
γμ,where the γμ are the usual Minkowski space gamma,gamma,usual Minkowski space gamma,1,9,6
T,and T is the temperature,temperature,temperature,1,5,3
V,to an amputated graph with V vertices I internal lines and external,vertex,vertex,2,12,1
R,the radius of a stellar core in equilibrium conditions R and the actual solar radius R⊙,radius,radius of a stellar core,2,16,8
VD,we define the volume of the Debye-Hückel sphere VD,volume,volume,1,9,5
kBT,kBT is the electron density,density,electron density,1,5,4
Z¯,where Z¯ is the average chemical composition and e,composition,average chemical composition,1,9,5
n,n is the electron density,density,electron density,1,5,4
ΔT,Temperature fluctuations ΔT of order between,fluctuation,Temperature fluctuation,1,6,1
U,According to virial theorem  the potential energy U of particles with Coulomb interaction is equal to,energy,potential energy,1,16,1
q,strong correlations of the fspins at a wave vector q in the singlechannel model,vector,wave vector,1,14,1
S,channels M is greater than twice the impurity spin S,spin,impurity spin,2,10,1
M,conduction electron channels if the degeneracy of the channels M is greater than twice the impurity spin S,degeneracy,degeneracy of the channel,2,18,4
σ,and spin projection σ,projection,spin projection,1,4,1
j,The opacity in the mode j depends on the photon frequency,mode,mode,1,11,1
T,photon frequency ω magnetic field B density ρ temperature T and the angle θB between the magnetic field,temperature,temperature,5,18,1
B,on the photon frequency ω magnetic field B density ρ temperature T and the angle θB,field,magnetic field,5,16,1
θB,density ρ temperature T and the angle θB between the magnetic field,angle,angle,3,12,1
B∼,thermal radiation from hydrogen NS atmospheres with magnetic fields B∼,field,magnetic field,1,10,1
ρ,frequency ω magnetic field B density ρ temperature T and the angle,density,density,4,12,1
h,observed depend on the liquid depth h which plays the role of,depth,liquid depth,1,12,1
