var,context,def
"ζ","The exponent ζ is the socalled Hurst exponent","exponent"
"T","of dark matter and baryonic matter and the temperature T of the baryons","temperature"
"Ωm","and the total matter density Ωm","density"
"j","We divide the space into j segments labeled","segments"
"lL","represents the position and corresponds to the spatial range lL","range"
"M","the Mach number should be M","number"
"es","polarization along the tube axis through a piezoelectric constant es so","constant"
"ξ","Then by introducing the scaled variable ξ the aspect ratio λ","variable"
"L","on a piezoelectric nanotube with radius R and length L","length"
"e","of an infinite two dimensional sheet e mapped onto the tube circumference","sheet"
"C","Introducing the one dimensional elastic modulus C the elastic energy is","modulus"
"η","be expressed as an integral over the strain field η and we obtain","field"
"H","with penetration depth πλ immersed in a perpendicular field H","field"
"f","of V across the tube for an applied tension f","tension"
"R","applied mechanical stress on a piezoelectric nanotube with radius R and length L","radius"
"ρ","the bound charge density ρ and the electrostatic","density"
"x","In the x space the density of lattice sites is","space"
"μ","Here μ is the chemical potential at pressure P","potential"
"ρ","the total density the superfluid velocity ρ and the vector 𝐯s","velocity"
"λia","and an auxiliary tensor λia","tensor"
"𝐯s","total density the superfluid velocity ρ and the vector 𝐯s","vector"
"g","the mass of the particles and the interaction parameter g with as the scattering length","parameter"
"E","distributed along the ring and with the ground energy E","energy"
"ρ","and ρ is the radial coordinate in the transverse direction","coordinate"
"C","the electronic specific heat C and the electrical resistivity ρ are described as","heat"
"γ","of electrical resistivity A and the Tlinear specificheat coefficient γ","coefficient"
"N","where N is the degeneracy of quasiparticles","degeneracy"
"A","between the Tcoefficient of electrical resistivity A and","resistivity"
"kF","h is the Plank constant kB the Boltzmann constant kF the Fermi momentum and NA the Avogadro number","constant"
"ρ","the electronic specific heat C and the electrical resistivity ρ are described as C and","resistivity"
"X","is often interesting to know whether a random variable X can be decomposed into a sum of n","variable"
"μ","Given a probability distribution μ a set Λ(μ) of positive real numbers is","distribution"
"A^","Let A^ be an operator from this algebra","operator"
"T","is density N is volume and T temperature","temperature"
"g","The strength g of the interconversion term and Vfb of the","strength"
"ν","where ν is the detuning associated with a Feshbach resonance","detuning"
"x","The position x of the particle at time t is given","position"
"t","S(t) denote the price of an asset at time t","time"
"σ","probability density function evolving in time with a variance σ","variance"
"d","you want to pass a rational curve of degree d through all of them there may be no","degree"
"δ","where δ is the zerotemperature domain","domain"
"J","between nearest neighbors with coupling constant J and a uniaxial anisotropy with","constant"
"|𝑺i|","terms of a classical spin model with spin variables |𝑺i| on a cubic lattice with lattice constant","variables"
"𝐦i","Here 𝐦i is the thermally averaged magnetization of the ith","magnetization"
"dU","where dU is the change in internal energy of a","change"
"ΩΛ","model solution of say Ωm and cosmological constant ΩΛ could also be fit at the","constant"
"p","fluid both the energy density ρ and the pressure p enter","pressure"
"f","is to employ constraints on the logarithmic growth factor f at some redshift where","factor"
"Ωm","the matter density Ωm and the dark energy density Ωw and the","density"
"R","where we take a test particle a distance R from the center of a homogeneous mass M","distance"
"ρ","For a perfect fluid both the energy density ρ and the pressure p enter","density"
"k","Sk is the von Neumann entropy of the system k","system"
"ρ","The density matrix ρ corresponding to the state","matrix"
"N","is investigated in a fully connected graph of N nodes","nodes"
"Tc","that well defined peaks persist far above Curie temperature Tc","temperature"
"ℋ","high temperature dynamics we use a classical Heisenberg model ℋ","model"
"q","velocity as a function of the binary mass ratio q","ratio"
"Rd","mdM is the total mass of the disc and Rd is its scale radius","radius"
"ρ∼","density in satellite remnants is the typical gas density ρ∼ found in dwarf galaxies of the","density"
"η","where η represents the fraction of the accreted mass that","fraction"
"v","where v is the velocity of the BH with respect","velocity"
"rb","the halo mass and that the bulge scale radius rb is a fraction fb of that of","radius"
"md","We assume that a fraction md of the initial halo mass is into a","fraction"
"L","Consider a onedimensional lattice of L sites with periodic boundary conditions","sites"
"pc","for asymptotically straight lines they estimated the critical point pc","point"
"θatm","where θatm θchz and θsol are the mixing angles of","angle"
"J","lepton CPviolation is described by the Jarlskog parameter J","parameter"
"ρ","and A ρ and η are the other three parameters with","parameter"
"V","For the CKM matrix V the best fit values of the three mixing","matrix"
"η","and A ρ and η are the other three parameters with the best","parameter"
"λ","with the Wolfenstein parameters λ and A of the quark mixing matrix","parameter"
"A","lepton mixing matrix with the Wolfenstein parameters λ and A of the quark mixing matrix","matrix"
"E","where E is the energy of electron t~","energy"
"ε~","where ε~ is the renormalized bias","bias"
"Ef","continuum to form a Fermi level Ef","level"
"ϵs","estimated from the effective mass and a dielectric constant ϵs","constant"
"W","of a system is represented by the density operator W and","operator"
"ρW","Werner’s state which is given by the density operator ρW","operator"
"ρ","singlet state that is given by the density operator ρ","operator"
"F","A nonnegative operator F over a tensor product of Hilbert spaces is","operator"
"M˙","begin with an expression for the mass absorption rate M˙ for a type I dimension bubble at the","rate"
"σGeV","where σGeV is a dimensionless number given in terms of","number"
"R","of the Fermi momentum pF and the bubble radius R","radius"
"ρrad","is negligible in comparison to the radiation energy density ρrad","density"
"pF","a neutron star in terms of the Fermi momentum pF and the bubble radius R","momentum"
"n","related to the neutron number density n so that we obtain a","density"
"σ","a constant which depends upon the bubble wall tension σ","tension"
"MP","where MP is the Planck constant","constant"
"n≈MNS","with a neutron volume number density n≈MNS","density"
"dM","with it an amount of energy dM which increases the bubble mass by","energy"
"V˙","falls into the bubble at a rate V˙ carrying with it an","rate"
"tBH","black hole we find that the amount of time tBH required for the black hole mass to evolve","time"
"ℛ","some probability of reflection with a corresponding reflection coefficient ℛ","coefficient"
"m","where m is the neutron mass","mass"
"M","in mechanical equilibrium the bubble mass M is proportional to R and","mass"
"Γ","the particle to be inside the well with lifetime Γ ","lifetime"
"t","probability of recording the value V at the moment t will be given by the standard quantum mechanics","moment"
"EJ","junction characterized by a capacitance C and Josephson energy EJ can be described by the motion of a","energy"
"Q","as the coordinate and the charge on the capacitor Q as the canonically conjugate momentum","capacitor"
"γ","Here γ is the phase difference of the superconducting order","difference"
"x","dimension X denotes a single variable x or a couple of variable (xy) respectively","variable"
"βr","The magnetic critical exponents are βr.","exponents"
"M","Here R M are automorphisms that act on the rapidities","automorphisms"
"k′","sites of the lattice and k′ is a “temperature-like” variable being small at low","variable"
"Cn","From the CGF we can obtain cumulants Cn which we identify","cumulants"
"ϵ","is such that the level ϵ is located below chemical potentials of both","level"
"C","generating function reproduces of course correctly the first cumulant C and the noise","cumulant"
"Γ","and Γ refers to the total tunneling rate","rate"
"P","level and P is the probability that the island is empty","probability"
"ΓL","The rates are parameterized by the bare tunneling rates ΓL to tunnel out of the dot","rates"
"Pn","of Poissonian processes of multiple charges weighted with probabilities Pn","probabilities"
"SI","the current I¯ the noise SI and similar for higher","noise"
"x","The (small) parameter x is determined by the thermal occupations in the","parameter"
"F","corresponding to a Fano factor F ","factor"
"N","for the quantum Heisenberg chain with N sites and exchange similar to","sites"
"α","The diffusion exponent α is connected with ν through","exponent"
"d","We investigated a freestanding flat gold film of thickness d","thickness"
"T","opening we calculated the overall power transmission T","transmission"
"λ","transmission of the chiral hole for light at wavelengths λ from","wavelengths"
"g","has n classical vertices and genus g and L has a diagram","genus"
"y","x in the Astate and some number of circles y in the Bstate","number"
"n","Here n is the number of classical vertices of the","number"
"x","We have some number of curves x in the Astate and some number of circles","number"
"Hsp","where Hsp is the single particle Hamiltonian and Vint is","Hamiltonian"
"Ψ","With the help of generating function Ψ this condition can be","function"
"Ωc","the required energy density Ωc or ρc","density"
"χ","Suppose there is a scalar field χ with nonzero lepton charge","field"
"Eν","where g is the electroweak coupling constant Eν is the neutrino energy and α","constant"
"μ","where μ is the chemical potential of neutrinos","potential"
"n","a possible neutrino condensate with n being the number density of neutrinos in the","number"
"T","not be essential in the BBN range of temperatures T","temperatures"
"Ei","where Ei is the energy of the initial nuclei Em","energy"
"g","where g is the number of relativistic degrees of","number"
"nνT","Here nνT is the neutrino number density in the thermal","density"
"k→","x is again a parton longitudinal momentum fraction and k→ its transverse momentum","momentum"
"ϕ","and on a phasefield vector ϕ","vector"
"TCr","the melting temperatures TCr the latent heats LNi","temperatures"
"me","melt the partition coefficient ke and the liquidus slope me is given by","slope"
"μ","is a kinetic factor related to the kinetic coefficient μ","coefficient"
"ke","impurity component c in the melt the partition coefficient ke and the liquidus slope me is given by","coefficient"
"c","and solidus line the concentration of the impurity component c in the melt the partition coefficient ke and","component"
"ε","multiwell potential w(ϕ) and by the small scale parameter ε related to","parameter"
"σ","we assume that surface properties (surface energy density σ and kinetic coefficient μ)","density"
"ΔT","between the temperature interval ΔT of the liquidus and","interval"
"e","is a typical velocity of species i (either electrons e or protons p) and λi and mi are","electrons"
"υi","where n is the number density of gas particles υi is a typical velocity of species i","velocity"
"μ","and where μ is the dynamical coefficient of viscosity","coefficient"
"z","At redshift z this cluster has a mass of","redshift"
"L","We prove that every lattice L can be embedded into","lattice"
"G","For a partially ordered abelian group G we put","group"
"μeff","where μeff is the effective dipole moment of the molecule","moment"
"U","μeff is the effective dipole moment of the molecule U is the amplitude of the oscillating hexapole term","amplitude"
"g","where g is the effective coupling constant given in terms","constant"
"kBT","between the level spacing Δε and the thermal energy kBT as illustrated in","energy"
"εF","energy distribution function is cutoff by the Fermi energy εF as it is given by","energy"
"vF","the possible variation of the Fermi velocity vF as the Fermi level is shifted","velocity"
"Δε","has peaks that reflect the level spacing Δε arising from the","spacing"
"T","with a shape depending on the temperature T","temperature"
"Λ","The highenergy cutoff Λ comes from the existence of a microscopic shortdistance","cutoff"
"t","is a particle at lattice site 𝐫 at time t and 0 otherwise","time"
"b","For our studies we introduce a parameter b ranging from zero to one which controls the","parameter"
"Γ","where M is a connected manifold and Γ is a valent graph together with a rule","graph"
"ϕ","the most central collisions the spectra for multistrange particles ϕ and Ω appear albeit with still large uncertainties","particle"
"Pλ","from measurements of the power spectra Pλ of local fluctuations in","spectra"
"v","in which the second Fourier component v is the dominant contribution","component"
"A","and target mass number A because the target gluon","number"
"C","shows measurements of the resonance contrast C for two buffer gas","contrast"
"τ","and τ is the integration time","time"
"A","where A is the relative intensity of the clock resonance","intensity"
"ν","where ν is the atomic reference frequency Δν is the","frequency"
"μq","the density dependence of neutron and proton chemical potentials: μq","potentials"
"ΘD","The characteristic temperatures ΘD","temperatures"
"J","a BonnerFisher type of behavior with an exchange constant J","constant"
"X","For a set X we denote by 𝒫(X) the powerset lattice of","set"
"L","For a given complete lattice L we investigate whether","lattice"
"p","An element p of a lattice L is","element"
"Δ","of the height Δ","height"
"r","of points derived from a spherical powerlaw density distribution r","distribution"
"H","We write the Hubble constant as H and adopt h","constant"
"σ","and we take the powerspectrum normalization σ","normalization"
"Ωb","a cosmologically constant ΩΛ a baryon density parameter Ωb and we take the powerspectrum","parameter"
"ρ","to show that for a given spherical density profile ρ","profile"
"A","that Im𝐑 is orthogonal to the column vector A","vector"
"E","Denote by E the Euler vector field in 𝐑n","field"
"ϕ","boundaries that could be tilted quasistatically by an angle ϕ with respect to the vertical axis","angle"
"ξ","and the rescaled horizontal position ξ","position"
"t","the parameters r and t below","parameter"
"φ","experiment is that for all finite shear angle values φ that we tested the shape of the response","values"
"w","The total height w of sand ranged between h and","height"
"u","and the shear ratio u","ratio"
"β","with an angle β with respect of the","angle"
"r","the parameters r and t below","parameter"
"τ","we argue that this τ angle is simply related to the","angle"
"z","relative to the vertical axis z (x denotes the horizontal coordinate) characterized by a","axis"
"G","Poisson coefficients ν and ν and the shear modulus G","modulus"
"l","The lateral width of the box was l","width"
"E","a given material namely the Young modulus E and the Poisson ratio ν","modulus"
"νij","Ei three shear moduli Gi and six Poisson ratios νij","ratios"
"R","conical pile of height h radius at the base R and pile slope angle","radius"
"σzz","for the vertical stress response σzz after shear for several shear angles ϕ and","response"
"ν","namely the Young modulus E and the Poisson ratio ν","ratio"
"x","is the horizontal coordinate x normalized by the sand depth h","coordinate"
"qi","Rescaling the local variable qi by the degree of node i we obtain","variable"
"Q","on the concept of modularity Q introduced by","modularity"
"L","respect to the distance r for the chain length L and various angles at h.","length"
"θ","where θ is the angle between 𝐡 and 𝐡N and","angle"
"αres","where αres is a residual angle which is two orders","angle"
"Fqq¯′","The joint parton distribution Fqq¯′ has three components","distribution"
"ξ","we use a phenomenological parameter ξ to denote the average fraction of hard partons","parameter"
"β","Here we use β to denote centrality","centrality"
"Vdc","where Vdc is the voltage across J1","voltage"
"E","voltage by only those electrons which have an energy E","energy"
"Γ","to characterize the tap intensity by the dimensionless acceleration Γ","acceleration"
"f","entire period of sine wave at a fixed frequency f","frequency"
"S","where S represents the proportionality constant associated with the","constant"
"P","We will denote this likelihood by P and we will call the initial target population","likelihood"
"N","P and we will call the initial target population N; which represents the total number of potential","number"
"fw𝖱","Let fw𝖱 be the resonant part of f in the","part"
"T","For an appropriately chosen strobing period T the synchronous solution corresponds to a fixed point","period"
"λi","and λi are eigenvalues of matrix A","eigenvalues"
"λk","Note that matrix A has N purely imaginary eigenvalues λk","eigenvalues"
"λ","The eigenvalues of the linear part are λ","eigenvalues"
"A","where A is an constant matrix and ei is","matrix"
"J","stationary state is set up and the heat flux J becomes a constant","flux"
"E","where E is the electron energy and |Φ(R)| is the","energy"
"x","where x is the position of the particle v is","position"
"v","where x is the position of the particle v is the velocity and F(xv) is the force","velocity"
"S","where S is known as Hamitlon’s principal function","function"
"γ","contracts by the factor γ","factor"
"v","independent of the relative speed v and hence invariant under","speed"
"τ","where τ is the proper time","time"
"d′","here d′ is the contracted light path in the y","path"
"C","hypothesis here is that the scale of the constant C","constant"
"σ","pair with very small intrinsic relative velocity is simply σ","velocity"
"b","dynamically-related spinzero fields a scalar ϕ and a pseudoscalar b","pseudoscalar"
"F","to generalize the asymptotic (large) relations F and to","relations"
"Γ","is the labeled undirected graph Γ with vertices S and edges","graph"
"n","Each of these Coxeter groups of rank n is a finite group of orthogonal matrices","rank"
"b","Let a and b be Coxeter generators for 𝐃(k)","generators"
"T","Let T be the BassSerre tree with standard transversal T∗","tree"
"Λ","Let Λ be a visual graph of groups decomposition of","graph"
"V′","Let V′ be a vertex group of Λ containing a","group"
"V","Let V be a real vector space having a basis","space"
"B","Let B be the symmetric bilinear form on V defined","form"
"R","with respect to another set of Coxeter generators R of W and","generators"
"U","If U is a subgroup of W write","subgroup"
"G","We denote the center of a group G by Z(G)","group"
"G′","a subgroup of a conjugate of a vertex group G′ of Λ′ which is in turn a subgroup","group"
"t","is the initial energy of the perturbation at time t","time"
"U→","when the unperturbed velocity corresponds to a linear shear U→ and the Coriolis force is","shear"
"ω→","the Coriolis force is described by the angular frequency ω→","frequency"
"C","behaviors of the magnetization m susceptibility χ specific heat C and Binder’s cumulant","heat"
"P","in the underlying lattice and P is the probability of adding or rewiring shortcuts","probability"
"Tc","near the critical temperature Tc and from the disordered state","temperature"
"γ","appropriate scaling functions and critical exponents γ α β and ν¯ where","exponent"
"m","much larger than J the order parameter (magnetization) m turns out to change erratically around","parameter"
"ν¯","scaling functions and critical exponents γ α β and ν¯ where","exponent"
"χ","behaviors of the magnetization m susceptibility χ specific heat C and","susceptibility"
"n","A of length n connecting","length"
"Ωξ","ξ mass to be mξ the relic density parameter Ωξ and","parameter"
"mξ","Let us take the ξ mass to be mξ the relic density parameter Ωξ and the average","mass"
"h","has cells with an average comoving cell size of h ","size"
"λ","by introducing a parameter λ thought of as an inverse temperature with the","parameter"
"p","aims to decide whether or not a particular parameter p should be fixed","parameter"
"H","and so on up to level H of hierarchy","level"
"N","Within a sphere of radius R we place randomly N spheres","spheres"
"R","Within a sphere of radius R we place randomly N spheres of","radius"
"α","The resulting slope of α","slope"
"Etot","To determine the total energy Etot in","energy"
"ma","a particle with mass ma and deformation fa(p) will be","mass"
"p→b","discussion particles a and b have momenta p→a and p→b respectively and","momenta"
"Kx","Using the definition for the inelasticity Kx for a process where","inelasticity"
"β→","represents an observer with velocity β→ with respect to 𝒦","velocity"
"K","cross sections σ and the inelasticities K of the interactions","inelasticities"
"𝒦","the laboratory system 𝒦","system"
"P","theory we can calculate the Poisson probability P of an excess in the five","probability"
"Ef","Ef is the difference between the initial energy E","difference"
"Eref","modified up to a reference energy Eref","energy"
"p→","when for a given value of the total momentum p→","momentum"
"Ep","where Ep is the final proton energy","energy"
"Ea","as a function of the energy Ea that it has","energy"
"z","where z is the redshift and T is the temperature","redshift"
"γc","As a consequence the Lorentz factor γc which relates the","factor"
"p","for particles with energy E and momentum p","momentum"
"λ","have defined the parameters α η and λ in such a way that","parameters"
"H","where H is the Hubble constant at present time","constant"
"α","have defined the parameters α η and λ in such a way that","parameters"
"γ","that positive coupling strength γ whatever large it is","strength"
"T","noise sources possess the same intensity T which we use as a","intensity"
"Myrtrlx","The relaxation time is given by Myrtrlx","time"
"ϵ","a plausible range of the accretion efficiency ϵ","efficiency"
"mχ","WIMPs of mass and number density mχ at radius","density"
"ΔΩ∼","sustains a solid angle ΔΩ∼ (about the resolution of EGRET)","angle"
"c","models and our model for typical concentration c","concentration"
"χdiag","first two training epochs the diagonal χdiag","diagonal"
"σR","and left and right asymmetric uncertainties σR and σL","uncertainty"
"η","cycles with learning rate η and momentum term α","rate"
"α","learning rate η and momentum term α and for the second","term"
"i","An inclination angle i is assumed","angle"
"ΔR","As the drainsource resistance modulation ΔR was always very small","modulation"
"Qg","the measured dependence of ΔR on the gate charge Qg","charge"
"Vg","is a function of the gate voltage Vg","voltage"
"m","for positive integers m and n","integers"
"fc","reflected at the carrier frequency fc from the tank circuit set","frequency"
"fmn","contains frequency components fmn where","components"
"fs","gate signal Vs at frequency fs modulates the","frequency"
"V","tunneling is suppressed for source-drain voltages V in the range","voltages"
"χ","be identified with the angle variable χ in the deSitter space","variable"
"λt","The λt factor in the exponent describes the loss of","factor"
"e","The exponential factor e reduces both components at","factor"
"g","Then P is the Kähler potential for a metric g if and only","metric"
"c","where c is the first Chern class of the bundle","class"
"Rc","Then the complex Ricci tensor Rc may be represented in","tensor"
"λ","is an eigenvector of Ricci corresponding to the eigenvalue λ if","eigenvalue"
"Rmin","dropping to a minimum point at radius Rmin and then rising","radius"
"τSF","into star clusters and τSF is the star formation timescale","timescale"
"c","the halo concentration parameter c and spin parameter λ","parameter"
"λ","the halo concentration parameter c and spin parameter λ","parameter"
"H","adopt standard values for the Hubble constant H","constant"
"Hd","bin size of the histogram is Hd","size"
"E˙","Second the energy input E˙ from supernovae at the observed","input"
"ΔT","a correlation between spatial separation ΔS and age difference ΔT","difference"
"md","models with disk fraction md have flat rotation curves","fraction"
"Ntot","with three resolution levels having total particle numbers Ntot","numbers"
"Δτ","between observations separated by an interval of time Δτ","time"
"m","where m is the progenitor mass","mass"
"𝒟","NH is the column density of hydrogen nuclei 𝒟 is the dust-to-gas mass ratio and δj is","ratio"
"λ","factor is a function of the wavelength λ and the dust","wavelength"
"q","The paths p and q are called the of the band","paths"
"G","finite presentation of a group G if every word w in X","group"
"l","such that for every constant C every loop l in the Cayley","loop"
"Tc","consider two temperatures near the critical temperature Tc","temperature"
"χ","Simulating the susceptibility χ for the","susceptibility"
"Lh","is first order then there is a latent heat Lh","heat"
"H","model has two conserved quantities: the Hamiltonian H","Hamiltonian"
"t","If the particle starts at rest at time t then we can","time"
"nμ","Here nμ is the tangent vector to the mean null","vector"
"φ","where φ is the change in angle between and in","change"
"ξ","and spin axis and the angle ξ between magnetic dipole and","angle"
"ω","and rotating with constant angular velocity ω","velocity"
"M","the neutron star to be spherical (mass M radius R) and rotating","mass"
"χ","the angle χ between line of sight and spin axis and","angle"
"νz","and an axial trapping frequency νz","frequency"
"xμ","these coordinates and the spacetime coordinates xμ","coordinates"
"NH","equivalent hydrogen column density NH in was set to the expected","density"
"d","incident field wavelength λ and for various gap distances d","distances"
"𝐤","the incident field given by its wavevector 𝐤","wavevector"
"λ","that has dimensions on the order of λ","wavelength"
"rB","number of nuclei from which plasma consists rB is Bohr radius","radius"
"Ω","where Ω is the rotation velocity","velocity"
"η","The existing of equilibrium plasma density η is not caused by","density"
"P","where 𝐠 is the gravity acceleration P is the pressure and","pressure"
"γ","acceleration P is the pressure and γ is the substance density","density"
"𝒯","The parameter 𝒯 is the period depending on world constants","parameter"
"ℱ","does the central frequency of this spectrum ℱ is equal approximately","spectrum"
"G","where G is the gravity constant","constant"
"𝒫","action on plasma can induce its electric polarization 𝒫","polarization"
"Z","Where Z is the averaged charge number of nuclei from","number"
"fη","these low frequency oscillations fη are induced by the sound radial","oscillations"
"𝕄","with radius ℝ mass 𝕄 at temperature 𝕋 which all depend on Z","mass"
"I","probability to measure the switching current I is given by","current"
"EJ","from the dependence of the Josephson energy EJ on the phase difference","energy"
"ΔU","exponential dependence of Γt on the potential barrier ΔU","barrier"
"Q","For underdamped junctions Q the prefactor in","junctions"
"C","the specific capacitance C and the junction resistance","capacitance"
"ρc","junction resistance R extracted from the high bias resistivity ρc","resistivity"
"Teff","the effective noise temperature Teff for the initial mesa","temperature"
"Ic","the fluctuation-free critical current Ic extracted from the analysis","current"
"T","At a finite temperature T the particle can escape from the","temperature"
"V","a result of self-heating at the large sumgap voltage V where N is the","voltage"
"R","Let R be a commutative Noetherian local ring with residue","ring"
"t","for analytical computations and at the decay time t","time"
"mi","elements of the lepton mixing matrix and mi are the active neutrino mass eigenvalues","eigenvalues"
"m","In the case of a normal neutrino mass hierarchy m and it","hierarchy"
"M","contains righthanded neutrino Majorana masses of order M","order"
"Pμe","if there is a small average probability Pμe for a neutrino","probability"
"r","variation with respect to radial distance r","distance"
"λ","on a grain size-scale parameter λ which represents the wavelength","parameter"
"𝐂","the ith of the matrix 𝐐 and the matrix 𝐂 has elements Cklκ","matrix"
"Cklκ","the matrix 𝐐 and the matrix 𝐂 has elements Cklκ","elements"
"B","are not solved again since the amplitude B is chosen such that the violation","amplitude"
"ρc","was constrained by a constant central density ρc","density"
"A","center and the parameter A specifies the degree of differential","parameter"
"δ","Here δ is the Doppler factor","factor"
"ϕ′","distribution function is equal to their maximum deflection angle ϕ′","angle"
"εcr′","where the critical energy εcr′ is defined from equality","energy"
"ε","a powerlaw of the particle’s energy ε with the","energy"
"P","the period of the planet P and the limb darkening coefficient u","period"
"u","where u is the limb darkening coefficient","coefficient"
"ci","lists the coefficients ai","coefficients"
"N","where N is the number of stars with sufficient","number"
"Vo","of the interferometer the actual squared visibility observed is Vo","visibility"
"λ","having a baseline B at the wavelength λ is defined as","wavelength"
"R","a smearing function on a length scale R and time scale T","scale"
"βk","now find the coefficients αk and βk by inserting the","coefficient"
"Hi","the initial Hubble length scale Hi is larger than","scale"
"αk","now find the coefficients αk and βk by inserting the","coefficient"
"Hf","than the final Hubble length scale Hf ","scale"
"T","function on a length scale R and time scale T","scale"
"ϕ","First consider a scalar field ϕ with potential","field"
"η","with respect to the conformal time η","time"
"Δt","of the pump-probe time delay Δt reveals the time evolution of","delay"
"fc","driven continuously at a frequency fc set to the Ga resonance","frequency"
"νn","the nuclear polarization frequency νn which has been calculated","frequency"
"κ","where κ is the surface gravity of the horizon defined","gravity"
"S","is the black hole mass T is temperature and S its entropy","entropy"
"M","with M the mass of the KK graviton","mass"
"χa","and χa is the Killing vector that is tangent to","vector"
"A","where A is the horizon area","area"
"G","Suppose G is a group over","group"
"tf","Therefore at the time tf where","time"
"n","where ℳ is a smooth manifold of dimension n and","dimension"
"td","where td is the time when dark energy dominance commences","time"
"θ","where θ is the opening angle of the wedge r","angle"
"ρB","constants εA and εB and densities ρA and ρB respectively","density"
"εA","B with dielectric constants εA and εB and densities ρA and ρB respectively","constants"
"ρA","εA and εB and densities ρA and ρB respectively","density"
"V","distance from the origin and V the potential difference between the two plates","difference"
"εB","liquids A and B with dielectric constants εA and εB and densities ρA and","constants"
"g","be embedded on a surface of a given genus g","genus"
"i","of the similarity Sord between element sij and element i","element"
"I","possibilities for the magnetic field effect on the current I","current"
"ϕ","Here Aμ and Rμ are gauge fields and ϕ is a complex scalar field","field"
"J","trivial exercise to calculate the current J along the string for","current"
"E","eigenstate of Hk with eigenvalue E provided that","eigenvalue"
"μ","presence of a nonzero fermion chemical potential μ and temperature T","potential"
"n","where e is the fermion charge and n is the winding number of the string","number"
"T","nonzero fermion chemical potential μ and temperature T","temperature"
"λ","of H⊥ with eigenvalue λ into a properly normalized eigenstate of","eigenvalue"
"H⊥","The operator H⊥ then takes the form","operator"
"Hk","and the operator Hk now acts solely in the transverse","operator"
"nL","where nL is the density of one","density"
"T","The characteristic temperature T above which the fixed range","temperature"
"θ","magnetic field which is tilted an angle θ to the normal with B→","angle"
"c","the matrix size increases as Nc where c is a constant","constant"
"N","topological invariant of unlabeled trees of N nodes","nodes"
"T","The number of trees T obtained with above algorithm with","trees"
"z","charged particle located at a height z above a magnetic monopole","height"
"λ","inhomogeneity with the scale length λ and density variation","length"
"Λ","The radiative cooling is represented by Λ in equation","cooling"
"ψ","particle wave function ψ is related by the rule","function"
"V","usual potential and V is the socalled quantum potential","potential"
"κ","where κ is a real number","number"
"ρ","is the density of particles ρ the velocity if a","density"
"μS","compared to the lead chemical potentials μS and μD at nearby","potential"
"E","plots the tunnel splitting t and the charging energy E required","energy"
"V","of the particle in the potential well V is given by","well"
"R","Here the radius of the wire is R its length L and","radius"
"Q","The quality factor of the structure Q is defined through the","structure"
"Telastic","torsion by an angle θ results in a torque Telastic","torque"
"σ","where σ is the conductivity and g is the gyromagnetic","conductivity"
"θW","The resulting torque has an associated torsion angle θW","angle"
"I","When a current I is passed through the wire a fraction α","current"
"L","the radius of the wire is R its length L and M is the magnetization","length"
"ΔL","in a change in the angular momentum ΔL","momentum"
"Tinertia","result in an inertial torque Tinertia due to the moment","torque"
"δθ","larger than the thermal fluctuations δθ","fluctuations"
"χc","the corresponding magnetic susceptibility χc is small","susceptibility"
"j","and j is the current density","density"
"θ","oscillator undergoing torsion by an angle θ results in a torque","angle"
"G","for a wire K and G is the shear modulus of the oscillator","modulus"
"λ","λ is the magnetostrictive coefficient","coefficient"
"Hc","from the circular magnetic field Hc perpendicular to","field"
"ΔN","The number of electrons ΔN passing the interface in a time interval Δt","number"
"t","and t is a constant","constant"
"r","where r represents the radius","radius"
"βa","were αa and βa are the asymptotic values at high metallicity and","value"
"P","Let P be the probability of giant gas planet formation","probability"
"c","where c is a positive constant and f is some","constant"
"σS","being proportional to the dust surface density σS","density"
"T","to the mid-plane disc temperature T since the gas accretion rate that ultimately forms","temperature"
"αa","were αa and βa are the asymptotic values at high","value"
"gν","Partial level density parameters gπ and gν were used in the","parameter"
"gπ","Partial level density parameters gπ and gν","parameter"
"M","contains the adjustable transition matrix element M for each possible transition between","element"
"sk","The emission rate wk for ejectile k with spin sk is given by","spin"
"V","Finally an effective surface interaction well depth V was used.","depth"
"Ω","The normalized density parameter Ω defined as the ratio of the actual density","parameter"
"ΔS","and by the entropy change ΔS of the system","change"
"Γ","change in the statistical weight Γ one has to count the change in number","weight"
"ϕ","to the amplitude of the applied field ϕ is the phase of the applied","field"
"t","integrating the power from time t to some final time to which is","time"
"θ","and θ is the phase of the plane wave macroscopic","phase"
"wo","where wo is the frequency of the applied field go","frequency"
"i","where i is the qubit index n is the lattice","index"
"n","where i is the qubit index n is the lattice site index and","index"
"Φ","The magnetic flux Φ is the only control field for our qubit","flux"
"ρn","two qubits are needed to specify the mass density ρn at each lattice site","density"
"M","the sample size P is the generating distribution and M is the best element of the model","element"
"xi","is the number of nats needed to encode outcome xi using the code based on the ML estimator","outcome"
"Ω","This new system corrotates at an angular velocity Ω","velocity"
"Peff","the effective magnetic Prandtl number Peff","number"
"tdiff≡H","The diffusion time tdiff≡H / D using the saturated value of D","time"
"β","strength vertical field with plasma parameter β except that we","parameter"
"Pm","number is small whereas the magnetic Prandtl number Pm","number"
"c","where c is the sound speed","speed"
"f","where f is a number between 0 and 1.","number"
"x","Thus the orbit of the point x under this type of permutation contains","point"
"λ","of Xλ and its mirror Yλ when the parameter λ lies","parameter"
